year,donor,type_donor,amount_nominal,issue_area
2008,Iceland,public,70697.36918,Peace
2009,Japan,public,68272157,Humanitarian Law and Action
2015,Germany,public,26258982,Humanitarian Law and Action
2009,Turkey,public,145050.0027,Humanitarian Law and Action
2021,International Society of Audiology (AUDI),private,55500,Health
2016,Bayer AG,private,454.5,Health
2015,NA,private,26169,"Labour, Economic Affairs, Science"
2007,Cuba,public,85711.35804,"Labour, Economic Affairs, Science"
2004,Jordan,public,22827.57645,"Labour, Economic Affairs, Science"
2013,Philippines,public,6146.267575,"Labour, Economic Affairs, Science"
2012,Croatia,public,137056,Humanitarian Law and Action
2013,Comoros,public,2628.401291,Peace
2018,Cambodia,public,2229.305551,Humanitarian Law and Action
2007,NA,private,48902906.28,"Labour, Economic Affairs, Science"
2018,Canada,public,1050000,Health
2019,Bangladesh,public,340333.5765,"Labour, Economic Affairs, Science"
2002,Burundi,public,2464.380052,"Labour, Economic Affairs, Science"
2006,Grenada,public,0.797548018,"Labour, Economic Affairs, Science"
2020,Carter Center,private,139500,Health
2019,NA,NA,2450000,Health
2006,United States,public,329340441,Humanitarian Law and Action
2012,Ousseimi Foundation,private,51051.31366,Humanitarian Law and Action
2017,South Korea,public,1150000,Health
2004,Antigua and Barbuda,public,19367.97545,"Labour, Economic Affairs, Science"
2001,Singapore,public,1812829.348,"Labour, Economic Affairs, Science"
2019,Hungary,public,188394,Humanitarian Law and Action
2005,Poland,public,30000,Humanitarian Law and Action
2013,Dominican Republic,public,118277.2329,Peace
2016,Global Fund,private,393000,Health
2017,Zimbabwe,public,500000,Health
2018,Saint Lucia,public,4780,Health
2000,Burundi,public,2082.5,Health
2006,Estonia,public,16841,Humanitarian Law and Action
2017,Vital Strategies,private,5000,Health
2007,UN Foundation,private,405000,Humanitarian Law and Action
2017,Paraguay,public,7772.988914,Humanitarian Law and Action
2011,Guinea,public,1394.078208,"Labour, Economic Affairs, Science"
2010,Norway,public,80974783,Humanitarian Law and Action
2002,Spain,public,247268,Humanitarian Law and Action
2017,Global Fund,private,2090890,Humanitarian Law and Action
2020,St.Jude Childrens Research Hospital,private,229000,Health
2019,Monaco,public,45820,Humanitarian Law and Action
2019,Australia,public,687967.5983,"Labour, Economic Affairs, Science"
2001,Estonia,public,35520,Humanitarian Law and Action
2002,Brazil,public,900771.009,"Labour, Economic Affairs, Science"
2002,RPH-Promotor Stiftung,private,8982.379779,Humanitarian Law and Action
2002,Serbia and Montenegro,public,42106.5,Health
2018,F. Hoffmann La Roche Ltd,private,511308.6126,Humanitarian Law and Action
2021,France,public,271000,Health
2016,Rwanda,public,9290,Health
2017,NA,private,5344872,Humanitarian Law and Action
2007,NA,private,503251,Humanitarian Law and Action
2006,Ireland,public,2516343,Humanitarian Law and Action
2017,Years of Water Limited,private,4500,Health
2006,Hong Kong,public,4228060.451,"Labour, Economic Affairs, Science"
2005,Netherlands,public,15859414,Health
2021,Greece,public,343000,Health
2007,Sri Lanka,public,34828.36595,Peace
2010,Croatia,public,21851.44203,"Labour, Economic Affairs, Science"
2015,UN,public,341460,Humanitarian Law and Action
2019,NA,private,2050000,Health
2011,Fiji,public,17512.68521,"Labour, Economic Affairs, Science"
2002,Ukraine,public,128156.1035,"Labour, Economic Affairs, Science"
2004,Zimbabwe,public,22827.57645,"Labour, Economic Affairs, Science"
2005,NA,private,21734370.29,"Labour, Economic Affairs, Science"
2017,Israel,public,238496.9107,Humanitarian Law and Action
2019,North Macedonia,public,19860.04339,Peace
2005,Qatar,public,138401.4825,Peace
2001,Venezuela,public,263813.1327,"Labour, Economic Affairs, Science"
2004,NA,private,19922872,Humanitarian Law and Action
2011,Mauritania,public,32819.39368,"Labour, Economic Affairs, Science"
2000,Mozambique,public,1057.317285,Peace
2019,Israel,public,1390201.918,Peace
2014,Central African Republic,public,1554.328926,"Labour, Economic Affairs, Science"
2015,Japan,public,9129201.429,"Labour, Economic Affairs, Science"
2006,Canada,public,898886.0647,Humanitarian Law and Action
2006,Mongolia,public,1856.738213,Peace
2020,Japan Liaison of Oriental Medicine (JLOM),private,45500,Health
2011,Australia,public,56340824,Humanitarian Law and Action
2015,UN,public,218808,Humanitarian Law and Action
2019,Antigua and Barbuda,public,5674.341719,Peace
2013,Egypt,public,366993.7771,"Labour, Economic Affairs, Science"
2016,Germany,public,240500,Health
2018,Poland,public,1357363,Humanitarian Law and Action
2018,Austria,public,349573.5175,"Labour, Economic Affairs, Science"
2000,Morocco,public,43349.50612,Peace
2018,Belgium,public,494315.7822,Humanitarian Law and Action
2009,Bahrain,public,119689.342,"Labour, Economic Affairs, Science"
2000,Mozambique,public,3580,Health
2019,NA,private,294329,Humanitarian Law and Action
2011,Saint Vincent and the Grenadines,public,2353.058873,Peace
2020,Switzerland,public,22579000,Health
2006,NA,private,44415,Humanitarian Law and Action
2018,South Korea,public,2600000,Health
2016,European Union,public,362518134,Humanitarian Law and Action
2003,Ghana,public,20963,Health
2015,Guyana,public,289443,Humanitarian Law and Action
2020,Grenada,public,3034.418119,"Labour, Economic Affairs, Science"
2021,Saudi Arabia,public,650000,Health
2015,Peru,public,266385402,Humanitarian Law and Action
2002,China,public,1686326.361,Peace
2019,Pakistan,public,6900000,Health
2006,"Foundation ""Remembrance, Responsibility and Future""",private,36888080,Humanitarian Law and Action
2016,Belarus,public,303000,Health
2002,United States,public,76036788,Humanitarian Law and Action
2009,Austria,public,2257570.138,Peace
2011,Intergovernmental Authority on Development (IGAD),public,863361,Humanitarian Law and Action
2003,Guatemala,public,10687.99563,Humanitarian Law and Action
2012,Peru,public,300155.4895,"Labour, Economic Affairs, Science"
2006,Netherlands,public,1020408,Humanitarian Law and Action
2020,Luxembourg,public,282101.8325,"Labour, Economic Affairs, Science"
2018,Austria,public,169500,Health
2018,UN,public,550000,Health
2012,Oman,public,15000,Humanitarian Law and Action
2015,Nicaragua,public,8966.624376,Peace
2013,"Fondo Social de la Construcci<U+00F3>n, Uruguay",private,258562,"Labour, Economic Affairs, Science"
2007,European Union,public,2501662.826,Humanitarian Law and Action
2020,Pakistan,public,468108.7875,"Labour, Economic Affairs, Science"
2019,Botswana,public,30472,Humanitarian Law and Action
2000,Sasakawa Endowment Fund Interest (JPN),private,105000,Humanitarian Law and Action
2012,Malta,public,65608.45658,"Labour, Economic Affairs, Science"
2018,Finland,public,251500,Health
2000,China,public,1052019.039,Peace
2004,Tajikistan,public,1745.078338,Peace
2016,Kyrgyzstan,public,71154,Humanitarian Law and Action
2002,Mauritius,public,37658.5,Health
2018,Luxembourg,public,10881855,Humanitarian Law and Action
2019,Ukraine,public,11466.3782,"Labour, Economic Affairs, Science"
2020,San Marino,public,12136.60739,"Labour, Economic Affairs, Science"
2020,Switzerland,public,5857.950037,Humanitarian Law and Action
2015,United States,public,1352454631,Humanitarian Law and Action
2017,Reckitt Benckiser Group Plc,private,2000,Health
2006,Finland,public,9757199.267,Humanitarian Law and Action
2014,Cuba,public,160044.5778,"Labour, Economic Affairs, Science"
2009,Kuwait,public,446764.301,"Labour, Economic Affairs, Science"
2019,Botswana,public,74755.35207,"Labour, Economic Affairs, Science"
2018,Canada,public,8386287,Humanitarian Law and Action
2008,NA,private,321230,Humanitarian Law and Action
2016,Liechtenstein,public,101482.2497,Humanitarian Law and Action
2010,Lithuania,public,10926.20044,"Labour, Economic Affairs, Science"
2016,Merck Ltd.,private,5000,Health
2014,Australia,public,40060699.6,Humanitarian Law and Action
2016,Armenia,public,32520,Health
2003,Denmark,public,13791000,Health
2017,NA,private,633452,Humanitarian Law and Action
2006,Zambia,public,3713.476425,Peace
2018,Myanmar,public,24733.5769,Peace
2008,Armenia,public,9133.128364,Humanitarian Law and Action
2021,"University of Newcastle, Australia",private,47000,Health
2012,Armenia,public,33154.0263,"Labour, Economic Affairs, Science"
2008,Russian Federation,public,2292888.005,Peace
2015,Australia,public,8206125.225,"Labour, Economic Affairs, Science"
2002,Sweden,public,1129674.9,Peace
2019,Netherlands,public,3847171.124,Peace
2001,Afghanistan,public,8316.812132,Peace
2000,New Zealand,public,70848,Humanitarian Law and Action
2014,ILO,public,146375,Humanitarian Law and Action
2002,NA,private,18000,Health
2020,Indonesia,public,2659358,Health
2020,United Arab Emirates,public,1758406.406,Peace
2006,Thailand,public,388057.8513,Peace
2012,Azerbaijan,public,36561.72929,Peace
2018,Chile,public,11652.72328,"Labour, Economic Affairs, Science"
2016,Peru,public,344484.1084,Peace
2004,Japan,public,166397,Humanitarian Law and Action
2006,Azerbaijan,public,14812.0618,"Labour, Economic Affairs, Science"
2007,Sweden,public,65727761.37,Humanitarian Law and Action
2018,GlaxoSmithKline (GSK),private,175000,Health
2012,United Arab Emirates,public,50000,Humanitarian Law and Action
2013,Pakistan,public,381760.1391,"Labour, Economic Affairs, Science"
2013,Switzerland,public,2751916.761,Peace
2008,Luxembourg,public,211590,Humanitarian Law and Action
2020,Dominican Republic,public,6557,Humanitarian Law and Action
2013,Africa Agriculture and Trade Investment Fund,private,175058,"Labour, Economic Affairs, Science"
2010,Democratic People's Republic of Korea,public,2731.789826,"Labour, Economic Affairs, Science"
2013,Italy,public,20353,Humanitarian Law and Action
2009,Italy,public,272109,Humanitarian Law and Action
2003,Weyerhauser Foundation,private,9914.22425,Humanitarian Law and Action
2005,Cote d'Ivoire,public,83352.00538,"Labour, Economic Affairs, Science"
2017,Norway,public,600000,Health
2018,Guinea-Bissau,public,4780,Health
2021,Sasakawa Health Foundation,private,482500,Health
2017,Finland,public,500,Health
2006,Austria,public,995123,Humanitarian Law and Action
2021,"Eisai Co., Ltd",private,2000,Health
2020,Alliance for Health Policy and Systems Research (AHPSR),private,65500,Health
2020,Zurich Insurance Group,private,532540.9125,Humanitarian Law and Action
2001,Saint Kitts and Nevis,public,1039.626645,Peace
2016,Hungary,public,81000,Health
2021,World Bank,public,2300000,Health
2016,Japan,public,49231083,Health
2008,Philippines,public,29982,Humanitarian Law and Action
2019,United Kingdom,public,28638000,Health
2018,Gates Foundation,private,1940168.144,Health
2019,Cambodia,public,108967,Humanitarian Law and Action
2008,Norway,public,2853150.708,"Labour, Economic Affairs, Science"
2016,University of Hohenheim,private,20500,Health
2021,Ukraine,public,4200000,Health
2011,Oman,public,202362.1614,Peace
2004,Saudi Arabia,public,2500000,Health
2018,Slovenia,public,67023.35555,Humanitarian Law and Action
2001,Netherlands,public,1538668,Humanitarian Law and Action
2008,Philippines,public,591,Humanitarian Law and Action
2017,Lithuania,public,276946.497,"Labour, Economic Affairs, Science"
2012,Zimbabwe,public,11577.46106,"Labour, Economic Affairs, Science"
2007,UN,public,2680930,Humanitarian Law and Action
2002,Tanzania,public,11162,Health
2015,Portugal,public,355204.4357,"Labour, Economic Affairs, Science"
2017,Prideco Holdings (Pty) Ltd,private,5500,Health
2017,Congo,public,2893.290491,"Labour, Economic Affairs, Science"
2003,North Macedonia,public,8942.5,Health
2015,Tunisia,public,5919.692928,"Labour, Economic Affairs, Science"
2021,Mozambique,public,439500,Health
2017,Hungary,public,619283.9995,"Labour, Economic Affairs, Science"
2002,Guinea,public,13675.67321,"Labour, Economic Affairs, Science"
2018,Netherlands,public,477500,Health
2007,Belgium,public,8951411.486,Humanitarian Law and Action
2019,Fundacion Mundo Sano,private,1645383.957,Health
2014,Czech Republic,public,942818.3782,Humanitarian Law and Action
2020,Sasakawa Health Foundation,private,186000,Health
2020,Brazil,public,8415230.91,Peace
2007,New Zealand,public,557253.4201,Peace
2010,Peru,public,268936274,Humanitarian Law and Action
2010,Lithuania,public,115567.4625,"Labour, Economic Affairs, Science"
2004,Colombia,public,270493.3401,Peace
2019,Gilead Sciences Inc.,private,166500,Health
2010,Chile,public,600207.4971,"Labour, Economic Affairs, Science"
2014,Saint Lucia,public,3.274569367,"Labour, Economic Affairs, Science"
2012,New Zealand,public,5280190.341,Humanitarian Law and Action
2020,Italy,public,34444258,Humanitarian Law and Action
2008,NA,private,4599,Humanitarian Law and Action
2001,United Kingdom,public,62891254.23,Humanitarian Law and Action
2010,Australia,public,42538,Health
2004,Czech Republic,public,66532.58233,Humanitarian Law and Action
2005,Benin,public,2380.384475,Humanitarian Law and Action
2013,Saint Vincent and the Grenadines,public,31637.58059,"Labour, Economic Affairs, Science"
2008,NA,private,24069,Humanitarian Law and Action
2014,United Kingdom,public,68481108,Humanitarian Law and Action
2016,Grenada,public,4650,Health
2017,UN,public,2950000,Health
2019,Kazakhstan,public,5000,Humanitarian Law and Action
2011,Bahamas,public,78805.95738,"Labour, Economic Affairs, Science"
2017,Slovenia,public,46287.57012,"Labour, Economic Affairs, Science"
2016,Cameroon,public,25485.42331,Peace
2012,Tajikistan,public,4874.966001,Peace
2015,NA,private,168729,Humanitarian Law and Action
2018,NA,NA,3050000,Health
2017,Slovenia,public,124858.3313,Humanitarian Law and Action
2013,International Port Industry (various donors),private,8605,"Labour, Economic Affairs, Science"
2003,Finland,public,10085200.25,Humanitarian Law and Action
2013,Mongolia,public,35855.92467,"Labour, Economic Affairs, Science"
2005,Panama,public,41087.96669,Peace
2019,Finland,public,22500245,Humanitarian Law and Action
2012,Tonga,public,3038.337009,"Labour, Economic Affairs, Science"
2000,Mc Henry Tichenor (USA),private,25000,Humanitarian Law and Action
2012,Comoros,public,2437.379857,Peace
2018,Bhutan,public,2473.347515,Peace
2009,NA,private,4001070.632,Humanitarian Law and Action
2002,Myanmar,public,32600,Health
2003,Chile,public,349980.0616,"Labour, Economic Affairs, Science"
2005,Thailand,public,1069445,Health
2019,Senegal,public,47213.90657,"Labour, Economic Affairs, Science"
2018,Peru,public,656658,Health
2016,Belize,public,4650,Health
2019,Ethiopia,public,28371.50509,Peace
2014,China,public,14470374.26,Peace
2004,Brazil,public,5082818,Health
2021,Famine Relief Fund,private,1650000,Health
2011,Tonga,public,2353.058873,Peace
2010,Jamaica,public,320.2589687,"Labour, Economic Affairs, Science"
2007,Papua New Guinea,public,6700,Health
2001,Senegal,public,5198.032711,Peace
2005,Malta,public,61810,Health
2015,Oman,public,10000,Humanitarian Law and Action
2016,Sierra Leone,public,29759.66974,"Labour, Economic Affairs, Science"
2015,Papua New Guinea,public,363572,Humanitarian Law and Action
2018,Ecuador,public,243904.4344,"Labour, Economic Affairs, Science"
2017,Bulgaria,public,81760,Humanitarian Law and Action
2016,Ghana,public,11.16304747,"Labour, Economic Affairs, Science"
2016,Liberia,public,2539.426389,Peace
2004,Norway,public,1814793.936,"Labour, Economic Affairs, Science"
2017,Switzerland,public,370568.6651,Humanitarian Law and Action
2018,Switzerland,public,2819624.307,Peace
2017,Morocco,public,357370.6296,"Labour, Economic Affairs, Science"
2011,Azerbaijan,public,20000,Humanitarian Law and Action
2019,New Zealand,public,462302.8351,"Labour, Economic Affairs, Science"
2016,Norway,public,462545.9461,"Labour, Economic Affairs, Science"
2020,Djibouti,public,122.4844099,"Labour, Economic Affairs, Science"
2003,Austria,public,933464,Humanitarian Law and Action
2008,Portugal,public,276985.2921,Humanitarian Law and Action
2020,Niger,public,950000,Health
2011,Panama,public,26484.10773,Humanitarian Law and Action
2004,Afghanistan,public,3490.2782,Peace
2012,Singapore,public,4670573.455,"Labour, Economic Affairs, Science"
2012,Peru,public,173579.7987,Humanitarian Law and Action
2009,Solomon Islands,public,25874.38037,"Labour, Economic Affairs, Science"
2017,Book Aid International (BAI),private,10000,Health
2016,Finland,public,225500,Health
2009,United States,public,23262792.91,"Labour, Economic Affairs, Science"
2015,Cyprus,public,185873.3703,"Labour, Economic Affairs, Science"
2020,Denmark,public,29499100.54,Humanitarian Law and Action
2005,Thailand,public,451967.1475,Peace
2014,Vanuatu,public,2810.916188,Peace
2014,Antigua and Barbuda,public,3109.749375,"Labour, Economic Affairs, Science"
2001,Finland,public,2204960,Health
2013,Poland,public,1272774,Humanitarian Law and Action
2014,Syria,public,6218.407228,"Labour, Economic Affairs, Science"
2012,Bosnia and Herzegovina,public,3038.337009,"Labour, Economic Affairs, Science"
2017,The Church of Jesus Christ of Latter-day Saints,private,1000000,Health
2015,France,public,1184016.517,"Labour, Economic Affairs, Science"
2004,Poland,public,10000,Health
2017,San Marino,public,20310.91956,Humanitarian Law and Action
2005,Austria,public,1484997,Humanitarian Law and Action
2005,Nigeria,public,233720,Health
2017,Mexico,public,3557823.157,"Labour, Economic Affairs, Science"
2007,Liechtenstein,public,36088.99286,"Labour, Economic Affairs, Science"
2016,Malta,public,155374,Humanitarian Law and Action
2006,New Zealand,public,986890,Health
2018,NA,private,178401,Humanitarian Law and Action
2014,Rwanda,public,32008.91556,"Labour, Economic Affairs, Science"
2009,Seychelles,public,7253.64888,"Labour, Economic Affairs, Science"
2018,UN,public,600000,Health
2018,Sweden,public,2364527.144,Peace
2006,Tanzania,public,30477.49997,"Labour, Economic Affairs, Science"
2020,Sweden,public,2586227.689,Peace
2020,Slovakia,public,749328,Health
2017,Xuzhou Nuote Chemical Co. Ltd,private,3000,Health
2021,Moldova,public,106500,Health
2001,India,public,21591,Humanitarian Law and Action
2002,Gabon,public,15280.64338,Peace
2010,Niger,public,3728.044522,"Labour, Economic Affairs, Science"
2016,UN,public,23000,Health
2021,Germany,public,35850000,Health
2016,Switzerland,public,5074.112487,Humanitarian Law and Action
2011,Malawi,public,1603.527761,"Labour, Economic Affairs, Science"
2013,Costa Rica,public,15000,Humanitarian Law and Action
2006,Latvia,public,73423.06812,"Labour, Economic Affairs, Science"
2016,Russian Federation,public,51500,Health
2001,Panama,public,103950.2493,"Labour, Economic Affairs, Science"
2001,Mali,public,11812.52833,"Labour, Economic Affairs, Science"
2001,China,public,296276.1056,Humanitarian Law and Action
2015,Togo,public,2988.911507,Peace
2007,Serbia,public,10645.91966,Humanitarian Law and Action
2006,Morocco,public,209880,Health
2007,UN,public,10092063,Humanitarian Law and Action
2001,Japan,public,84700525,Health
2007,Albania,public,15471.94772,"Labour, Economic Affairs, Science"
2017,NA,NA,50000,Health
2000,Czech Republic,public,15927,Humanitarian Law and Action
2004,Slovakia,public,28146.45162,Humanitarian Law and Action
2010,Cuba,public,5462.620792,"Labour, Economic Affairs, Science"
2017,Iceland,public,12766.42849,Humanitarian Law and Action
2002,NA,private,92081,Humanitarian Law and Action
2010,Jordan,public,16010.07186,Humanitarian Law and Action
2021,"Mahidol University, Thailand",private,44000,Health
2012,Niger,public,46.92412369,"Labour, Economic Affairs, Science"
2000,Liechtenstein,public,6343.803197,Peace
2021,European Union,public,46700000,Health
2018,France,public,7595024.149,"Labour, Economic Affairs, Science"
2018,NA,public,9273604.306,"Labour, Economic Affairs, Science"
2017,United Arab Emirates,public,2700200,Health
2020,United States,public,899999000,Health
2018,Cambodia,public,9893.39006,Peace
2016,Slovakia,public,657280.2351,"Labour, Economic Affairs, Science"
2007,Sasakawa Peace Foundation,private,108018.3973,Health
2007,NA,private,1234,Humanitarian Law and Action
2018,Thailand,public,2445041.994,"Labour, Economic Affairs, Science"
2014,Turkey,public,168224,Humanitarian Law and Action
2009,NA,private,7000,Health
2020,Mauritania,public,1150000,Health
2018,NA,private,42263890,Humanitarian Law and Action
2006,Paraguay,public,53590,Health
2012,Kazakhstan,public,12152.28158,"Labour, Economic Affairs, Science"
2012,Australia,public,2538355.139,"Labour, Economic Affairs, Science"
2003,Grenada,public,222.7748689,Humanitarian Law and Action
2004,African Union,public,60000,Humanitarian Law and Action
2005,Equatorial Guinea,public,2430.5,Health
2010,Uganda,public,11184.13357,"Labour, Economic Affairs, Science"
2007,Papua New Guinea,public,4353.532145,Peace
2017,Norway,public,346500,Health
2018,Fondation Botnar (FB),private,63500,Health
2007,Sweden,public,3179191,Humanitarian Law and Action
2010,Algeria,public,271171.2253,Peace
2012,Canada,public,49462164.23,Humanitarian Law and Action
2016,Estonia,public,49000,Health
2018,KNCV Tuberculosis Foundation,private,1400000,Health
2012,Canada,public,7816892.875,Peace
2014,Oman,public,12437.90598,"Labour, Economic Affairs, Science"
2019,Saint Kitts and Nevis,public,2837.221737,Peace
2002,Monaco,public,20000,Humanitarian Law and Action
2007,Albania,public,10645.91966,Humanitarian Law and Action
2003,NA,private,107991861,Humanitarian Law and Action
2000,New Zealand,public,218141.0587,"Labour, Economic Affairs, Science"
2003,Kiribati,public,1327.136194,Peace
2012,South Africa,public,275005,Humanitarian Law and Action
2007,Nicaragua,public,4470,Health
2012,Bolivia,public,17062.07158,Peace
2017,Oil Search Health Foundation,public,111500,Health
2006,Islamic Association of Bahrain,private,9970,Humanitarian Law and Action
2019,Australia,public,2610535.584,"Labour, Economic Affairs, Science"
2017,Eliminating Child Labour in Tobacco Growing Foundation (ECLT),private,475953,"Labour, Economic Affairs, Science"
2008,Online donations (Headquarters),private,465319,Humanitarian Law and Action
2020,North Macedonia,public,33500,Health
2011,Vietnam,public,15878.75348,Humanitarian Law and Action
2019,Universita Europea del Mediterraneo Onlus,private,10000,Health
2006,Finland,public,989640.3794,Peace
2007,Bhutan,public,4470,Health
2013,Tanzania,public,78039.36546,"Labour, Economic Affairs, Science"
2020,Kenya,public,1800000,Health
2017,Montenegro,public,15385.52156,"Labour, Economic Affairs, Science"
2017,Gates Foundation,private,11800000,Health
2015,UN,public,700117,Humanitarian Law and Action
2020,United Kingdom,public,17048351.47,Health
2008,Bolivia,public,37778.02399,"Labour, Economic Affairs, Science"
2012,Portugal,public,300000,Humanitarian Law and Action
2005,Switzerland,public,74569883.64,Humanitarian Law and Action
2004,India,public,9017,Humanitarian Law and Action
2017,Pakistan,public,345458.2753,"Labour, Economic Affairs, Science"
2018,Wellcome Trust,private,2750000,Health
2016,Poland,public,662881.0405,Humanitarian Law and Action
2018,Open Society Foundation,private,11000,Health
2017,Colombia,public,37134335,Humanitarian Law and Action
2001,Niger,public,11812.52833,"Labour, Economic Affairs, Science"
2004,Pakistan,public,95981.61756,Peace
2018,Belarus,public,270396,Health
2009,Vanuatu,public,2545.157942,Peace
2019,United Kingdom,public,667487826.2,Health
2009,Zimbabwe,public,20361.47248,Peace
2020,UN,public,9000,Health
2018,Merck Ltd.,private,5000,Health
2006,Japan,public,57723187.83,"Labour, Economic Affairs, Science"
2007,Nigeria,public,127254,Health
2002,Ecuador,public,27286.89126,Peace
2018,Switzerland,public,42837379,Humanitarian Law and Action
2014,Denmark,public,4771161,Humanitarian Law and Action
2017,Seychelles,public,2569.065932,Peace
2009,NA,private,989012,Humanitarian Law and Action
2016,UCB SA,private,267500,Health
2008,El Salvador,public,55000,Humanitarian Law and Action
2008,Finland,public,11003957.2,Humanitarian Law and Action
2009,South Africa,public,1051815.848,"Labour, Economic Affairs, Science"
2014,Switzerland,public,152887558.9,Humanitarian Law and Action
2006,Thailand,public,66649.4928,Humanitarian Law and Action
2006,Millennium BCP / Banco Comercial Portugu<U+00EA>s,private,627141,Humanitarian Law and Action
2013,Syria,public,94621.72447,Peace
2013,Somalia,public,2628.401291,Peace
2013,Bulgaria,public,10000,Humanitarian Law and Action
2010,United States,public,1092596.073,"Labour, Economic Affairs, Science"
2020,Australia,public,2719398.868,"Labour, Economic Affairs, Science"
2018,Medecins Sans Frontieres,private,708572.4273,Health
2012,One Billion Strong,private,50000,Humanitarian Law and Action
2002,Monaco,public,57743.87001,Humanitarian Law and Action
2021,UN,public,14500000,Health
2005,Rwanda,public,20165.80775,"Labour, Economic Affairs, Science"
2009,Costa Rica,public,5104,Humanitarian Law and Action
2007,Zurich Financial Services,private,395371.9116,Humanitarian Law and Action
2003,Estonia,public,28524.8368,"Labour, Economic Affairs, Science"
2005,Rotary Foundation,private,806255.6568,Humanitarian Law and Action
2019,Cabo Verde,public,6000,Health
2014,Lebanon,public,3897,Humanitarian Law and Action
2012,NA,private,20660,Humanitarian Law and Action
2011,Nicaragua,public,1463.894726,Humanitarian Law and Action
2002,Saint Kitts and Nevis,public,13675.67321,"Labour, Economic Affairs, Science"
