"","id","org","year","donor","donor_specific","type_donor","internal_donor","donor_continent","amount_nominal","amount_currency2","amount_currency","earmarked","hq","full_series","granularity","source","page","accessed","link","comment","assign","value","amount_nominal_usd","operations","issue_area","issue_area2","issue_area3","staff","comments","staff_quantile","recipient_quantile"
"11",17568,"UNOG",2010,"Jamaica","assessed contribution","public","no","Latin America",29659.3418045682,"USD","USD",NA,NA,TRUE,"very granular","UN_Sec_Contr_2010","8-13",2022-03-14,"https://www.un.org/en/ga/contributions/budget.shtml","Contribution to regular budget * percentage of UNOG in overall UN Secretariat budget in 2010-11","remo",1,29659.3418045682,"non-field","Peace","Peace","Dialogue and Coordination",1600,"Staff: as of 2022","2nd_quantile","3rd_quantile"
"12",9185,"IOM",2012,"Namibia","assessed contribution","public","no","Africa",3427,"CHF","CHF",NA,NA,TRUE,"very granular","iom_fr_2012","46-51",2022-02-15,"https://governingbodies.iom.int/system/files/migrated_files/about-iom/governing-bodies/en/council/103/MC_2376.pdf","outstanding contributions were deducted","remo",0.937684,3654.74936119204,"field","Humanitarian Law and Action","Peace","Migration",13844,"Staff: 95% based in the field; as of 2019","1st_quantile","1st_quantile"
"13",8059,"IOM",2005,"Argentina","voluntary contribution","public","no","Latin America",1625159,"USD","USD",NA,NA,TRUE,"very granular","iom_fr_2005","34",2022-02-14,"https://www.iom.int/resources/mc/2196-financial-report-year-ended-31-december-2005",NA,"remo",1,1625159,"field","Humanitarian Law and Action","Peace","Migration",13844,"Staff: 95% based in the field; as of 2019","1st_quantile","1st_quantile"
"14",7064,"ILO",2018,"Unites States Council Foundation","Supervisory Skills Trainings on Managing People","private","no",NA,254037,"USD","USD",NA,NA,TRUE,"very granular","ILO Development Cooperation Dashboard (CSV)",NA,2022-01-03,"https://www.ilo.org/DevelopmentCooperationDashboard/#bwgtqc6","Only includes programs with positive expenditure values; accuracy/completeness of data questionable","remo",1,254037,"non-field","Labour, Economic Affairs, Science","Prosperity","Labor Conditions",3381,"Staff: as of Dec. 2020","2nd_quantile","2nd_quantile"
"15",28884,"WTO",2008,"Germany",NA,"public","no","Europe",15765498,"CHF","CHF",NA,NA,TRUE,"very granular","ar_wto_2008","109-14",2022-01-06,"https://www.wto.org/english/res_e/publications_e/publ_by_title_e.htm",NA,"livio",1.08309,14556036.8944409,"non-field","Labour, Economic Affairs, Science","Prosperity","Trade",625,"Staff: as of 2022","4th_quantile","3rd_quantile"
"16",31517,"WHO",2016,"Monaco","voluntary thematic","public","no","Europe",72900.5,"USD","USD",NA,NA,TRUE,"very granular","WHO Budget Platform","-",2022-04-09,"http://open.who.int/2018-19/home",NA,"livio",1,72900.5,"non-field","Health","Health","Public Health",7958,"Staff: as of Aug. 2018","1st_quantile","1st_quantile"
"17",3179,"ICRC",2013,NA,NA,"public","no",NA,1560,"CHF","CHF",NA,NA,TRUE,"partially granular","ar_icrc_2013","574-9",2022-10-12,"https://blogs.icrc.org/cross-files/annual-reports/","Various supranational organizations","livio",0.926904,1683.02219000026,"field","Humanitarian Law and Action","Peace","Humanitarian",20000,"Staff: as of 2022","1st_quantile","2nd_quantile"
"18",21197,"WHO",2016,"European Union",NA,"public","no","Europe",8350000,"USD","USD",NA,TRUE,TRUE,"very granular","WHO Budget Platform",NA,2022-02-10,"http://open.who.int/2020-21/contributors/contributor",NA,"livio",1,8350000,"non-field","Health","Health","Public Health",7958,"Staff: as of Aug. 2018","1st_quantile","1st_quantile"
"19",29867,"WTO",2014,"Slovenia",NA,"public","no","Europe",357765,"CHF","CHF",NA,NA,TRUE,"very granular","ar_wto_2014","146-7",2022-01-06,"https://www.wto.org/english/res_e/publications_e/publ_by_title_e.htm",NA,"livio",0.916151,390508.769842526,"non-field","Labour, Economic Affairs, Science","Prosperity","Trade",625,"Staff: as of 2022","4th_quantile","3rd_quantile"
"20",3727,"ICRC",2017,"World Bank",NA,"public","no",NA,19801331,"CHF","CHF",NA,NA,TRUE,"very granular","ar_icrc_2017","546-50",2022-10-12,"https://blogs.icrc.org/cross-files/annual-reports/",NA,"livio",0.984692,20109162.0527028,"field","Humanitarian Law and Action","Peace","Humanitarian",20000,"Staff: as of 2022","1st_quantile","2nd_quantile"
"21",14974,"UNHCR",2016,NA,"Philippines","private","no",NA,653684,"USD","USD",NA,NA,TRUE,"partially granular","unhcr_fr_2016","42-43",2021-12-27,"https://reporting.unhcr.org/sites/default/files/gr2016/pdf/02_Funding.pdf",NA,"R",1,653684,"field","Humanitarian Law and Action","Peace","Migration",17878,"Staff: 87% based in the field; as of Dec. 2020","1st_quantile","1st_quantile"
"22",27111,"WIPO",2018,"Barbados",NA,"public","no","Latin America",2849,"CHF","CHF",NA,NA,TRUE,"very granular","wipo_pbr_2018-9","237-240",2022-01-13,"https://www.wipo.int/export/sites/www/about-wipo/en/budget/pdf/budget_2018_2019.pdf",NA,"R",0.977883,2913.43647450666,"non-field","Labour, Economic Affairs, Science","Prosperity","Patents",1162,"Staff: as of Sept. 2018","3rd_quantile","4th_quantile"
"23",4764,"ILO",2006,"Kazakhstan",NA,"public","no","Asia",92861,"CHF","CHF",NA,NA,TRUE,"very granular","ilo_fr_2006-7","18-21",2022-01-05,"https://www.ilo.org/wcmsp5/groups/public/---ed_mas/---finance/documents/genericdocument/wcms_735407.pdf","Assessed contributions according to UN allocations assessment","remo",1.253843,74061.1065340716,"non-field","Labour, Economic Affairs, Science","Prosperity","Labor Conditions",3381,"Staff: as of Dec. 2020","2nd_quantile","2nd_quantile"
"24",13727,"UNHCR",2008,"PricewaterhouseCoopers Ltd.","Philippines","private","no",NA,5000,"USD","USD",NA,NA,TRUE,"very granular","unhcr_fr_2008","70-72",2021-12-25,"https://www.unhcr.org/publications/fundraising/4a2d1a4b2/unhcr-global-report-2008-funding-unhcrs-programmes.html",NA,"R",1,5000,"field","Humanitarian Law and Action","Peace","Migration",17878,"Staff: 87% based in the field; as of Dec. 2020","1st_quantile","1st_quantile"
"25",9128,"IOM",2012,"Czech Republic","voluntary contribution","public","no","Europe",1651577,"USD","USD",NA,NA,TRUE,"very granular","iom_fr_2012","62",2022-02-15,"https://governingbodies.iom.int/system/files/migrated_files/about-iom/governing-bodies/en/council/103/MC_2376.pdf",NA,"remo",1,1651577,"field","Humanitarian Law and Action","Peace","Migration",13844,"Staff: 95% based in the field; as of 2019","1st_quantile","1st_quantile"
"26",13244,"UNHCR",2005,"European Union",NA,"public","no","Europe",86129723,"USD","USD",NA,NA,TRUE,"very granular","unhcr_fr_2005","24-29",2021-12-24,"https://www.unhcr.org/449267630.pdf",NA,"R",1,86129723,"field","Humanitarian Law and Action","Peace","Migration",17878,"Staff: 87% based in the field; as of Dec. 2020","1st_quantile","1st_quantile"
"27",23427,"WHO",2019,"Eleanor Crook Foundation",NA,"private","no",NA,27000,"USD","USD",NA,TRUE,TRUE,"very granular","WHO Budget Platform",NA,2022-02-10,"http://open.who.int/2020-21/contributors/contributor",NA,"livio",1,27000,"non-field","Health","Health","Public Health",7958,"Staff: as of Aug. 2018","1st_quantile","1st_quantile"
"28",18717,"UNOG",2016,"Indonesia","assessed contribution","public","no","Asia",1272602.99894102,"USD","USD",NA,NA,TRUE,"very granular","UN_Sec_Contr_2016","9-15",2022-03-14,"https://www.un.org/en/ga/contributions/budget.shtml","Contribution to regular budget * percentage of UNOG in overall UN Secretariat budget in 2016-17","remo",1,1272602.99894102,"non-field","Peace","Peace","Dialogue and Coordination",1600,"Staff: as of 2022","2nd_quantile","3rd_quantile"
"29",4273,"ILO",2002,"Uruguay",NA,"public","no","Latin America",6470,"CHF","CHF",NA,NA,TRUE,"very granular","ilo_fr_2002-3","50-53",2022-01-05,"https://www.ilo.org/wcmsp5/groups/public/---ed_mas/---finance/documents/genericdocument/wcms_747008.pdf","Assessed contributions according to UN allocations assessment","remo",1.558607,4151.14265494765,"non-field","Labour, Economic Affairs, Science","Prosperity","Labor Conditions",3381,"Staff: as of Dec. 2020","2nd_quantile","2nd_quantile"
"30",16347,"UNOG",2004,"Bahamas","assessed contribution","public","no","Latin America",22686.50449,"USD","USD",NA,NA,TRUE,"very granular","UN_Sec_Contr_2004","10-15",2022-03-14,"https://www.un.org/en/ga/contributions/budget.shtml","Contribution to regular budget * percentage of UNOG in overall UN Secretariat budget in 2004-5","remo",1,22686.50449,"non-field","Peace","Peace","Dialogue and Coordination",1600,"Staff: as of 2022","2nd_quantile","3rd_quantile"
"31",1768,"ICRC",2003,"Bhutan",NA,"public","no","Asia",21616,"CHF","CHF",NA,NA,TRUE,"very granular","ar_icrc_2003","332-37",2022-10-11,"https://blogs.icrc.org/cross-files/annual-reports/",NA,"livio",1.346651,16051.6718882621,"field","Humanitarian Law and Action","Peace","Humanitarian",20000,"Staff: as of 2022","1st_quantile","2nd_quantile"
"32",19644,"WEF",2013,NA,NA,"private","no",NA,107334000,"CHF","CHF",FALSE,NA,TRUE,"partially granular","ar_wef_2014","35",2022-02-03,"-","partnership money","livio",0.926904,115798399.834287,"non-field","Labour, Economic Affairs, Science","Prosperity","Economics",3744,"Staff: estimated by LinkedIn","2nd_quantile","3rd_quantile"
"33",10789,"OHCHR",2001,"Colombia",NA,"public","no","Latin America",11000,"USD","USD",NA,NA,FALSE,"very granular","ohchr_ar_2001","15",2021-12-20,"https://www.ohchr.org/Documents/AboutUs/annualreport2001.pdf","current USD = USD as of time of report","remo",1,11000,"field","Humanitarian Law and Action","Peace","Human Rights",905,"Staff: considered are only professional (P) and higher categories; as of June 2020; issue_area from https://www.geneve-int.ch/resources-topic","3rd_quantile","4th_quantile"
"34",6136,"ILO",2014,"Niger",NA,"public","no","Africa",70,"CHF","CHF",NA,NA,TRUE,"very granular","ilo_fr_2014","69-76",2022-01-04,"https://www.ilo.org/wcmsp5/groups/public/---ed_norm/---relconf/documents/meetingdocument/wcms_366627.pdf","Assessed contributions according to UN allocations assessment","remo",0.916151,76.4066185596043,"non-field","Labour, Economic Affairs, Science","Prosperity","Labor Conditions",3381,"Staff: as of Dec. 2020","2nd_quantile","2nd_quantile"
"35",12235,"OHCHR",2016,"Norway",NA,"public","no","Europe",7085703,"USD","USD",FALSE,NA,TRUE,"very granular","ohchr_ar_2016","79-83",2021-12-22,"https://www2.ohchr.org/english/OHCHRreport2016/allegati/Downloads/1_The_whole_Report_2016.pdf","current USD = USD as of time of report","remo",1,7085703,"field","Humanitarian Law and Action","Peace","Human Rights",905,"Staff: considered are only professional (P) and higher categories; as of June 2020; issue_area from https://www.geneve-int.ch/resources-topic","3rd_quantile","4th_quantile"
"36",21494,"WHO",2016,"National University of Ireland Galway",NA,"private","no",NA,49000,"USD","USD",NA,NA,TRUE,"very granular","WHO Budget Platform",NA,2022-02-10,"http://open.who.int/2020-21/contributors/contributor",NA,"livio",1,49000,"non-field","Health","Health","Public Health",7958,"Staff: as of Aug. 2018","1st_quantile","1st_quantile"
"37",16622,"UNOG",2005,"Lesotho","assessed contribution","public","no","Africa",2162.51177092515,"USD","USD",NA,NA,TRUE,"very granular","UN_Sec_Contr_2005","3-6",2022-03-14,"https://www.un.org/en/ga/contributions/budget.shtml","Contribution to regular budget * percentage of UNOG in overall UN Secretariat budget in 2004-5","remo",1,2162.51177092515,"non-field","Peace","Peace","Dialogue and Coordination",1600,"Staff: as of 2022","2nd_quantile","3rd_quantile"
"38",331,"GARDP",2020,"Netherlands","VWS","public","no","Europe",7500000,"EUR","EUR",NA,NA,FALSE,"very granular","fr_gardp_2020","26",2022-10-10,NA,NA,"livio",0.875506,8566474.70148691,"non-field","Health","Health","Antibiotics",65,"Operations: provides funding, advocacy and strategic direction; Staff: 65 staff, 54 FTE; as of Dec. 2020","4th_quantile","4th_quantile"
"39",27402,"WIPO",2019,"Micronesia (Federated States of)",NA,"public","no",NA,2849,"CHF","CHF",NA,NA,TRUE,"very granular","wipo_pbr_2018-9","237-240",2022-01-13,"https://www.wipo.int/export/sites/www/about-wipo/en/budget/pdf/budget_2018_2019.pdf",NA,"R",0.993775,2866.84611707882,"non-field","Labour, Economic Affairs, Science","Prosperity","Patents",1162,"Staff: as of Sept. 2018","3rd_quantile","4th_quantile"
"40",13666,"UNHCR",2008,"Espa<U+00F1>a con ACNUR (SPA)",NA,"private","no",NA,5931074,"USD","USD",NA,NA,TRUE,"very granular","unhcr_fr_2008","70-72",2021-12-25,"https://www.unhcr.org/publications/fundraising/4a2d1a4b2/unhcr-global-report-2008-funding-unhcrs-programmes.html",NA,"R",1,5931074,"field","Humanitarian Law and Action","Peace","Migration",17878,"Staff: 87% based in the field; as of Dec. 2020","1st_quantile","1st_quantile"
"41",6706,"ILO",2017,"Georgia",NA,"public","no","Asia",30301,"CHF","CHF",NA,NA,TRUE,"very granular","ilo_fr_2017","71-77",2022-01-04,"https://www.ilo.org/wcmsp5/groups/public/---ed_norm/---relconf/documents/meetingdocument/wcms_480366.pdf","Assessed contributions according to UN allocations assessment","remo",0.984692,30772.0586741844,"non-field","Labour, Economic Affairs, Science","Prosperity","Labor Conditions",3381,"Staff: as of Dec. 2020","2nd_quantile","2nd_quantile"
"42",11798,"OHCHR",2012,"Liechtenstein",NA,"public","no","Europe",53763,"USD","USD",FALSE,NA,TRUE,"very granular","ohchr_ar_2012","117-121",2021-12-21,"https://www2.ohchr.org/english/ohchrreport2012/web_en/allegati/10_Funding.pdf","current USD = USD as of time of report","remo",1,53763,"field","Humanitarian Law and Action","Peace","Human Rights",905,"Staff: considered are only professional (P) and higher categories; as of June 2020; issue_area from https://www.geneve-int.ch/resources-topic","3rd_quantile","4th_quantile"
"43",10662,"IOM",2020,"Vietnam","voluntary contribution","public","no","Asia",185329,"USD","USD",NA,NA,TRUE,"very granular","iom_fr_2020","75-76",2022-02-15,"https://governingbodies.iom.int/system/files/en/council/112/C-112-3%20_%20Financial%20Report%202020.pdf",NA,"remo",1,185329,"field","Humanitarian Law and Action","Peace","Migration",13844,"Staff: 95% based in the field; as of 2019","1st_quantile","1st_quantile"
"44",18797,"UNOG",2016,"Solomon Islands","assessed contribution","public","no","Oceania",2539.42638890514,"USD","USD",NA,NA,TRUE,"very granular","UN_Sec_Contr_2016","9-15",2022-03-14,"https://www.un.org/en/ga/contributions/budget.shtml","Contribution to regular budget * percentage of UNOG in overall UN Secretariat budget in 2016-17","remo",1,2539.42638890514,"non-field","Peace","Peace","Dialogue and Coordination",1600,"Staff: as of 2022","2nd_quantile","3rd_quantile"
"45",14662,"UNHCR",2014,NA,"Belgium","private","no",NA,2366,"USD","USD",NA,NA,TRUE,"partially granular","unhcr_fr_2014","144-147",2021-12-26,"https://www.unhcr.org/publications/fundraising/5575a78d0/unhcr-global-report-2014-funding-unhcrs-programmes.html","Private Donors","R",1,2366,"field","Humanitarian Law and Action","Peace","Migration",17878,"Staff: 87% based in the field; as of Dec. 2020","1st_quantile","1st_quantile"
"46",22859,"WHO",2018,"Harvard School of Public Health (HSPH)",NA,"private","no",NA,146000,"USD","USD",NA,TRUE,TRUE,"very granular","WHO Budget Platform",NA,2022-02-10,"http://open.who.int/2020-21/contributors/contributor",NA,"livio",1,146000,"non-field","Health","Health","Public Health",7958,"Staff: as of Aug. 2018","1st_quantile","1st_quantile"
"47",12988,"UNHCR",2002,NA,"Singapore","private","no",NA,1188,"USD","USD",NA,NA,TRUE,"partially granular","unhcr_fr_2002","31-32",2021-12-23,"https://www.unhcr.org/publications/fundraising/3edf4fce0/unhcr-global-report-2002-unhcr-overview-funding-unhcrs-programmes.html","Private Donors","R",1,1188,"field","Humanitarian Law and Action","Peace","Migration",17878,"Staff: 87% based in the field; as of Dec. 2020","1st_quantile","1st_quantile"
"48",22798,"WHO",2018,"Fondation Botnar (FB)",NA,"private","no",NA,15000,"USD","USD",NA,FALSE,TRUE,"very granular","WHO Budget Platform",NA,2022-02-10,"http://open.who.int/2020-21/contributors/contributor",NA,"livio",1,15000,"non-field","Health","Health","Public Health",7958,"Staff: as of Aug. 2018","1st_quantile","1st_quantile"
"49",17952,"UNOG",2012,"Jamaica","assessed contribution","public","no","Latin America",34124.2462934221,"USD","USD",NA,NA,TRUE,"very granular","UN_Sec_Contr_2012","2-7",2022-03-14,"https://www.un.org/en/ga/contributions/budget.shtml","Contribution to regular budget * percentage of UNOG in overall UN Secretariat budget in 2012-13","remo",1,34124.2462934221,"non-field","Peace","Peace","Dialogue and Coordination",1600,"Staff: as of 2022","2nd_quantile","3rd_quantile"
"50",18820,"UNOG",2016,"Ukraine","assessed contribution","public","no","Europe",261372.284266428,"USD","USD",NA,NA,TRUE,"very granular","UN_Sec_Contr_2016","9-15",2022-03-14,"https://www.un.org/en/ga/contributions/budget.shtml","Contribution to regular budget * percentage of UNOG in overall UN Secretariat budget in 2016-17","remo",1,261372.284266428,"non-field","Peace","Peace","Dialogue and Coordination",1600,"Staff: as of 2022","2nd_quantile","3rd_quantile"
"51",18665,"UNOG",2016,"Burkina Faso","assessed contribution","public","no","Africa",10111.667503006,"USD","USD",NA,NA,TRUE,"very granular","UN_Sec_Contr_2016","9-15",2022-03-14,"https://www.un.org/en/ga/contributions/budget.shtml","Contribution to regular budget * percentage of UNOG in overall UN Secretariat budget in 2016-17","remo",1,10111.667503006,"non-field","Peace","Peace","Dialogue and Coordination",1600,"Staff: as of 2022","2nd_quantile","3rd_quantile"
"52",5982,"ILO",2013,"Tuvalu",NA,"public","no","Oceania",3605,"CHF","CHF",NA,NA,TRUE,"very granular","ilo_fr_2013","65-72",2022-01-05,"https://www.ilo.org/wcmsp5/groups/public/---ed_norm/---relconf/documents/meetingdocument/wcms_242875.pdf","Assessed contributions according to UN allocations assessment","remo",0.926904,3889.29166343009,"non-field","Labour, Economic Affairs, Science","Prosperity","Labor Conditions",3381,"Staff: as of Dec. 2020","2nd_quantile","2nd_quantile"
"53",12259,"OHCHR",2016,"Switzerland","Ville de Geneve","public","no","Europe",4931,"USD","USD",TRUE,NA,TRUE,"very granular","ohchr_ar_2016","79-83",2021-12-22,"https://www2.ohchr.org/english/OHCHRreport2016/allegati/Downloads/1_The_whole_Report_2016.pdf","current USD = USD as of time of report","remo",1,4931,"field","Humanitarian Law and Action","Peace","Human Rights",905,"Staff: considered are only professional (P) and higher categories; as of June 2020; issue_area from https://www.geneve-int.ch/resources-topic","3rd_quantile","4th_quantile"
"54",19056,"UNOG",2018,"Canada","assessed contribution","public","no","North America",7224669.05245703,"USD","USD",NA,NA,TRUE,"very granular","UN_Sec_Contr_2018","8-12",2022-03-14,"https://www.un.org/en/ga/contributions/budget.shtml","Contribution to regular budget * percentage of UNOG in overall UN Secretariat budget in 2018-9","remo",1,7224669.05245703,"non-field","Peace","Peace","Dialogue and Coordination",1600,"Staff: as of 2022","2nd_quantile","3rd_quantile"
"55",17114,"UNOG",2008,"Barbados","assessed contribution","public","no","Latin America",17196.7138368815,"USD","USD",NA,NA,TRUE,"very granular","UN_Sec_Contr_2008","8-13",2022-03-14,"https://www.un.org/en/ga/contributions/budget.shtml","Contribution to regular budget * percentage of UNOG in overall UN Secretariat budget in 2008-9","remo",1,17196.7138368815,"non-field","Peace","Peace","Dialogue and Coordination",1600,"Staff: as of 2022","2nd_quantile","3rd_quantile"
"56",24511,"WHO",2020,"Sasakawa Health Foundation",NA,"private","no",NA,125000,"USD","USD",NA,FALSE,TRUE,"very granular","WHO Budget Platform",NA,2022-02-10,"http://open.who.int/2020-21/contributors/contributor",NA,"livio",1,125000,"non-field","Health","Health","Public Health",7958,"Staff: as of Aug. 2018","1st_quantile","1st_quantile"
"57",19287,"UNOG",2019,"Guatemala","assessed contribution","public","no","Latin America",102137.235154623,"USD","USD",NA,NA,TRUE,"very granular","UN_Sec_Contr_2019","2-7",2022-03-14,"https://www.un.org/en/ga/contributions/budget.shtml","Contribution to regular budget * percentage of UNOG in overall UN Secretariat budget in 2018-9","remo",1,102137.235154623,"non-field","Peace","Peace","Dialogue and Coordination",1600,"Staff: as of 2022","2nd_quantile","3rd_quantile"
"58",11795,"OHCHR",2012,"Kuwait",NA,"public","no","Middle East",10000,"USD","USD",TRUE,NA,TRUE,"very granular","ohchr_ar_2012","117-121",2021-12-21,"https://www2.ohchr.org/english/ohchrreport2012/web_en/allegati/10_Funding.pdf","current USD = USD as of time of report","remo",1,10000,"field","Humanitarian Law and Action","Peace","Human Rights",905,"Staff: considered are only professional (P) and higher categories; as of June 2020; issue_area from https://www.geneve-int.ch/resources-topic","3rd_quantile","4th_quantile"
"59",24916,"WHO",2021,"COVID-19 Solidarity Fund",NA,"private","no",NA,8800000,"USD","USD",NA,FALSE,TRUE,"very granular","WHO Budget Platform",NA,2022-02-10,"http://open.who.int/2020-21/contributors/contributor",NA,"livio",1,8800000,"non-field","Health","Health","Public Health",7958,"Staff: as of Aug. 2018","1st_quantile","1st_quantile"
"60",490,"GAVI",2010,"United Kingdom","AMC","public","no","Europe",22204536,"USD","USD",NA,NA,TRUE,"very granular","gavi_xlsx_2012",NA,2022-01-12,"https://www.gavi.org/news/document-library/annual-donor-contributions-gavi-2000-2031-31-december-2012","Annual donor contributions from 2000 to 2012 (replaces missing info in gavi_fr_2000 - gavi_fr_2009)","remo",1,22204536,"field","Health","Health","Vaccination",600,"Staff: estimated by www.craft.co","4th_quantile","2nd_quantile"
"61",21475,"WHO",2016,"Moldova",NA,"public","no","Europe",44500,"USD","USD",NA,NA,TRUE,"very granular","WHO Budget Platform",NA,2022-02-10,"http://open.who.int/2020-21/contributors/contributor",NA,"livio",1,44500,"non-field","Health","Health","Public Health",7958,"Staff: as of Aug. 2018","1st_quantile","1st_quantile"
"62",6531,"ILO",2016,"Lukoil","Partnerships for Youth Employment in the Commonwealth of Independent States","private","no",NA,1238446,"USD","USD",NA,NA,TRUE,"very granular","ILO Development Cooperation Dashboard (CSV)",NA,2022-01-03,"https://www.ilo.org/DevelopmentCooperationDashboard/#bwgtqc6","Only includes programs with positive expenditure values; accuracy/completeness of data questionable","remo",1,1238446,"non-field","Labour, Economic Affairs, Science","Prosperity","Labor Conditions",3381,"Staff: as of Dec. 2020","2nd_quantile","2nd_quantile"
"63",26144,"WIPO",2012,"Trinidad and Tobago",NA,"public","no","Latin America",5697,"CHF","CHF",NA,NA,TRUE,"very granular","wipo_pbr_2012-3","225-228",2022-01-13,"https://www.wipo.int/export/sites/www/about-wipo/en/budget/pdf/budget_2012_2013.pdf",NA,"R",0.937684,6075.60756075608,"non-field","Labour, Economic Affairs, Science","Prosperity","Patents",1162,"Staff: as of Sept. 2018","3rd_quantile","4th_quantile"
"64",21461,"WHO",2016,"Mauritania",NA,"public","no","Africa",130000,"USD","USD",NA,NA,TRUE,"very granular","WHO Budget Platform",NA,2022-02-10,"http://open.who.int/2020-21/contributors/contributor",NA,"livio",1,130000,"non-field","Health","Health","Public Health",7958,"Staff: as of Aug. 2018","1st_quantile","1st_quantile"
"65",18837,"UNOG",2017,"Antigua and Barbuda","assessed contribution","public","no","Latin America",5138.1318632564,"USD","USD",NA,NA,TRUE,"very granular","UN_Sec_Contr_2017","2-7",2022-03-14,"https://www.un.org/en/ga/contributions/budget.shtml","Contribution to regular budget * percentage of UNOG in overall UN Secretariat budget in 2016-17","remo",1,5138.1318632564,"non-field","Peace","Peace","Dialogue and Coordination",1600,"Staff: as of 2022","2nd_quantile","3rd_quantile"
